DETENIDOS E IMPUTADOS (POR DISTRITOS);
;
DISTRITOS;DETENIDOS E IMPUTADOS
CENTRO;198
ARGANZUELA;52
RETIRO;32
SALAMANCA;92
CHAMARTÍN;59
TETUÁN;62
CHAMBERÍ;43
FUENCARRAL - EL PARDO;26
MONCLOA - ARAVACA;20
LATINA;56
CARABANCHEL;100
USERA;84
PUENTE DE VALLECAS;88
MORATALAZ;10
CIUDAD LINEAL;36
HORTALEZA;30
VILLAVERDE;49
VILLA DE VALLECAS;38
VICÁLVARO;39
SAN BLAS - CANILLEJAS;38
BARAJAS;13
;
