C. Demografía y Población
Migraciones
Cambios de domicilio
5.2.1. Cambios de domicilio entre Distritos
;;2018;2019
06. Tetuán;07. Chamberí;425;512
06. Tetuán;08. Fuencarral-El Pardo;1.013;1.130
06. Tetuán;09. Moncloa-Aravaca;586;714
06. Tetuán;10. Latina;370;467
06. Tetuán;11. Carabanchel;428;412
06. Tetuán;12. Usera;225;290
06. Tetuán;13. Puente de Vallecas;471;492
06. Tetuán;14. Moratalaz;107;111
06. Tetuán;15. Ciudad Lineal;444;473
06. Tetuán;16. Hortaleza;496;566
06. Tetuán;17. Villaverde;235;319
06. Tetuán;18. Villa de Vallecas;180;203
06. Tetuán;19. Vicálvaro;87;78
06. Tetuán;20. San Blas-Canillejas;220;277
06. Tetuán;21. Barajas;68;53
07. Chamberí;Ciudad de Madrid;9.005;9.800
07. Chamberí;01. Centro;652;820
07. Chamberí;02. Arganzuela;311;294
07. Chamberí;03. Retiro;217;249
07. Chamberí;04. Salamanca;475;544
07. Chamberí;05. Chamartín;580;560
07. Chamberí;06. Tetuán;773;841
07. Chamberí;07. Chamberí;3.242;3.376
07. Chamberí;08. Fuencarral-El Pardo;433;514
07. Chamberí;09. Moncloa-Aravaca;550;621
07. Chamberí;10. Latina;227;291
07. Chamberí;11. Carabanchel;232;267
07. Chamberí;12. Usera;145;104
07. Chamberí;13. Puente de Vallecas;190;239
07. Chamberí;14. Moratalaz;86;53
07. Chamberí;15. Ciudad Lineal;283;351
07. Chamberí;16. Hortaleza;250;269
07. Chamberí;17. Villaverde;78;125
07. Chamberí;18. Villa de Vallecas;70;79
07. Chamberí;19. Vicálvaro;35;23
07. Chamberí;20. San Blas-Canillejas;133;145
07. Chamberí;21. Barajas;43;35
08. Fuencarral-El Pardo;Ciudad de Madrid;12.125;13.545
08. Fuencarral-El Pardo;01. Centro;225;293
08. Fuencarral-El Pardo;02. Arganzuela;118;130
08. Fuencarral-El Pardo;03. Retiro;108;101
08. Fuencarral-El Pardo;04. Salamanca;199;208
08. Fuencarral-El Pardo;05. Chamartín;377;420
08. Fuencarral-El Pardo;06. Tetuán;592;719
08. Fuencarral-El Pardo;07. Chamberí;204;221
08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;7.069;7.860
08. Fuencarral-El Pardo;09. Moncloa-Aravaca;434;499
08. Fuencarral-El Pardo;10. Latina;207;234
08. Fuencarral-El Pardo;11. Carabanchel;263;286
08. Fuencarral-El Pardo;12. Usera;136;188
08. Fuencarral-El Pardo;13. Puente de Vallecas;227;251
08. Fuencarral-El Pardo;14. Moratalaz;85;80
08. Fuencarral-El Pardo;15. Ciudad Lineal;307;321
08. Fuencarral-El Pardo;16. Hortaleza;900;1.035
08. Fuencarral-El Pardo;17. Villaverde;116;168
08. Fuencarral-El Pardo;18. Villa de Vallecas;160;161
08. Fuencarral-El Pardo;19. Vicálvaro;74;81
08. Fuencarral-El Pardo;20. San Blas-Canillejas;193;206
08. Fuencarral-El Pardo;21. Barajas;131;83
09. Moncloa-Aravaca;Ciudad de Madrid;6.085;6.720
09. Moncloa-Aravaca;01. Centro;357;389
09. Moncloa-Aravaca;02. Arganzuela;156;201
09. Moncloa-Aravaca;03. Retiro;97;121
09. Moncloa-Aravaca;04. Salamanca;170;213
09. Moncloa-Aravaca;05. Chamartín;213;238
09. Moncloa-Aravaca;06. Tetuán;420;563
09. Moncloa-Aravaca;07. Chamberí;389;369
09. Moncloa-Aravaca;08. Fuencarral-El Pardo;557;578
09. Moncloa-Aravaca;09. Moncloa-Aravaca;2.486;2.610
09. Moncloa-Aravaca;10. Latina;235;319
09. Moncloa-Aravaca;11. Carabanchel;204;219
09. Moncloa-Aravaca;12. Usera;104;119
09. Moncloa-Aravaca;13. Puente de Vallecas;126;143
09. Moncloa-Aravaca;14. Moratalaz;43;36
09. Moncloa-Aravaca;15. Ciudad Lineal;123;173
09. Moncloa-Aravaca;16. Hortaleza;138;137
09. Moncloa-Aravaca;17. Villaverde;70;74
09. Moncloa-Aravaca;18. Villa de Vallecas;65;78
09. Moncloa-Aravaca;19. Vicálvaro;24;28
09. Moncloa-Aravaca;20. San Blas-Canillejas;82;90
09. Moncloa-Aravaca;21. Barajas;26;22
10. Latina;Ciudad de Madrid;12.102;13.401
10. Latina;01. Centro;285;390
10. Latina;02. Arganzuela;297;343
10. Latina;03. Retiro;90;96
10. Latina;04. Salamanca;114;132
10. Latina;05. Chamartín;97;93
10. Latina;06. Tetuán;241;304
10. Latina;07. Chamberí;151;126
10. Latina;08. Fuencarral-El Pardo;240;250
10. Latina;09. Moncloa-Aravaca;183;232
10. Latina;10. Latina;6.409;6.902
10. Latina;11. Carabanchel;1.789;1.960
10. Latina;12. Usera;413;502
10. Latina;13. Puente de Vallecas;432;527
10. Latina;14. Moratalaz;91;111
10. Latina;15. Ciudad Lineal;261;313
10. Latina;16. Hortaleza;130;169
10. Latina;17. Villaverde;403;474
10. Latina;18. Villa de Vallecas;193;190
10. Latina;19. Vicálvaro;60;76
10. Latina;20. San Blas-Canillejas;179;186
10. Latina;21. Barajas;44;25
11. Carabanchel;Ciudad de Madrid;15.676;17.743
11. Carabanchel;01. Centro;418;470
11. Carabanchel;02. Arganzuela;437;482
11. Carabanchel;03. Retiro;113;126
11. Carabanchel;04. Salamanca;128;194
11. Carabanchel;05. Chamartín;94;125
11. Carabanchel;06. Tetuán;312;306
11. Carabanchel;07. Chamberí;124;137
11. Carabanchel;08. Fuencarral-El Pardo;276;230
11. Carabanchel;09. Moncloa-Aravaca;164;231
11. Carabanchel;10. Latina;1.683;1.828
11. Carabanchel;11. Carabanchel;8.202;9.015
11. Carabanchel;12. Usera;1.040;1.248
11. Carabanchel;13. Puente de Vallecas;684;851
11. Carabanchel;14. Moratalaz;138;183
11. Carabanchel;15. Ciudad Lineal;343;426
11. Carabanchel;16. Hortaleza;172;227
11. Carabanchel;17. Villaverde;700;813
11. Carabanchel;18. Villa de Vallecas;268;313
11. Carabanchel;19. Vicálvaro;79;148
11. Carabanchel;20. San Blas-Canillejas;250;325
11. Carabanchel;21. Barajas;51;65
12. Usera;Ciudad de Madrid;9.299;10.403
12. Usera;01. Centro;222;231
12. Usera;02. Arganzuela;322;359
12. Usera;03. Retiro;73;103
12. Usera;04. Salamanca;74;95
12. Usera;05. Chamartín;67;72
12. Usera;06. Tetuán;184;200
12. Usera;07. Chamberí;84;92
12. Usera;08. Fuencarral-El Pardo;100;127
12. Usera;09. Moncloa-Aravaca;70;79
12. Usera;10. Latina;372;477
12. Usera;11. Carabanchel;1.065;1.267
12. Usera;12. Usera;4.615;4.863
12. Usera;13. Puente de Vallecas;470;530
12. Usera;14. Moratalaz;78;106
12. Usera;15. Ciudad Lineal;194;257
12. Usera;16. Hortaleza;94;120
12. Usera;17. Villaverde;833;953
12. Usera;18. Villa de Vallecas;131;199
12. Usera;19. Vicálvaro;80;59
12. Usera;20. San Blas-Canillejas;145;192
12. Usera;21. Barajas;26;22
13. Puente de Vallecas;Ciudad de Madrid;15.545;17.496
13. Puente de Vallecas;01. Centro;269;325
13. Puente de Vallecas;02. Arganzuela;217;305
13. Puente de Vallecas;03. Retiro;277;309
13. Puente de Vallecas;04. Salamanca;104;132
13. Puente de Vallecas;05. Chamartín;103;105
13. Puente de Vallecas;06. Tetuán;332;407
13. Puente de Vallecas;07. Chamberí;105;135
13. Puente de Vallecas;08. Fuencarral-El Pardo;205;257
13. Puente de Vallecas;09. Moncloa-Aravaca;88;130
13. Puente de Vallecas;10. Latina;423;520
13. Puente de Vallecas;11. Carabanchel;649;836
13. Puente de Vallecas;12. Usera;391;480
13. Puente de Vallecas;13. Puente de Vallecas;9.186;9.863
13. Puente de Vallecas;14. Moratalaz;367;362
13. Puente de Vallecas;15. Ciudad Lineal;349;378
13. Puente de Vallecas;16. Hortaleza;194;200
13. Puente de Vallecas;17. Villaverde;537;683
13. Puente de Vallecas;18. Villa de Vallecas;1.160;1.403
13. Puente de Vallecas;19. Vicálvaro;246;258
13. Puente de Vallecas;20. San Blas-Canillejas;297;365
13. Puente de Vallecas;21. Barajas;46;43
14. Moratalaz;Ciudad de Madrid;4.178;4.652
14. Moratalaz;01. Centro;69;93
14. Moratalaz;02. Arganzuela;74;76
14. Moratalaz;03. Retiro;163;169
14. Moratalaz;04. Salamanca;67;73
14. Moratalaz;05. Chamartín;65;48
14. Moratalaz;06. Tetuán;82;84
14. Moratalaz;07. Chamberí;45;49
14. Moratalaz;08. Fuencarral-El Pardo;96;117
14. Moratalaz;09. Moncloa-Aravaca;39;34
14. Moratalaz;10. Latina;87;108
14. Moratalaz;11. Carabanchel;142;156
14. Moratalaz;12. Usera;75;94
14. Moratalaz;13. Puente de Vallecas;412;412
14. Moratalaz;14. Moratalaz;1.766;2.069
14. Moratalaz;15. Ciudad Lineal;156;178
14. Moratalaz;16. Hortaleza;95;85
14. Moratalaz;17. Villaverde;100;103
14. Moratalaz;18. Villa de Vallecas;219;267
14. Moratalaz;19. Vicálvaro;228;246
14. Moratalaz;20. San Blas-Canillejas;169;165
14. Moratalaz;21. Barajas;29;26
15. Ciudad Lineal;Ciudad de Madrid;13.155;14.196
15. Ciudad Lineal;01. Centro;262;326
15. Ciudad Lineal;02. Arganzuela;151;225
15. Ciudad Lineal;03. Retiro;135;150
15. Ciudad Lineal;04. Salamanca;390;390
15. Ciudad Lineal;05. Chamartín;430;451
15. Ciudad Lineal;06. Tetuán;344;376
15. Ciudad Lineal;07. Chamberí;201;207
15. Ciudad Lineal;08. Fuencarral-El Pardo;431;417
15. Ciudad Lineal;09. Moncloa-Aravaca;133;145
15. Ciudad Lineal;10. Latina;274;314
15. Ciudad Lineal;11. Carabanchel;483;460
15. Ciudad Lineal;12. Usera;248;275
15. Ciudad Lineal;13. Puente de Vallecas;550;560
15. Ciudad Lineal;14. Moratalaz;207;310
15. Ciudad Lineal;15. Ciudad Lineal;5.654;6.144
