"neighbourhood","n_housings","mean_airbnb_price_usd"
"Abrantes",1,60
"Acacias",12,71.0833333333333
"Adelfas",3,194.333333333333
"Alameda de Osuna",4,50
"Almagro",14,91.8571428571429
"Almenara",4,71.5
"Aluche",2,24
"Apostol Santiago",1,57
"Arapiles",14,60.5714285714286
"Aravaca",3,79
"Arcos",5,28.2
"Argüelles",14,72.4285714285714
"Atocha",4,115
"Bellas Vistas",4,29.5
"Berruguete",3,39
"Campamento",1,83
"Canillas",5,56.4
"Canillejas",1,36
"Cármenes",4,43.25
"Casa de Campo",2,83.5
"Casco Histórico de Barajas",1,93
"Casco Histórico de Vallecas",4,72
"Casco Histórico de Vicálvaro",2,58.5
"Castellana",6,79.5
"Castilla",9,77
"Castillejos",6,74
"Chopera",9,61.6666666666667
"Ciudad Jardín",2,57.5
"Ciudad Universitaria",3,55
"Colina",2,41
"Comillas",2,29.5
"Cortes",72,105.319444444444
"Costillares",2,31
"Cuatro Caminos",10,69.5
"Delicias",11,93.9090909090909
"El Viso",6,75.8333333333333
"Embajadores",210,80.9190476190476
"Fontarrón",3,78.3333333333333
"Fuente del Berro",2,115
"Gaztambide",5,93.8
"Goya",23,109.217391304348
"Guindalera",7,105.142857142857
"Hispanoamérica",4,61.5
"Ibiza",14,84.1428571428571
"Imperial",6,58
"Jerónimos",9,81.5555555555556
"Justicia",64,124.484375
"La Paz",1,80
"Legazpi",3,53
"Lista",6,79.3333333333333
"Los Angeles",3,65.3333333333333
"Los Rosales",1,24
"Lucero",5,55
"Marroquina",1,155
"Moscardó",2,131.5
"Niño Jesús",6,165.5
"Nueva España",2,183.5
"Numancia",6,32
"Opañel",4,48.25
"Pacífico",15,83.0666666666667
"Palacio",121,108.305785123967
"Palomas",1,150
"Palomeras Bajas",1,58
"Palomeras Sureste",2,20.5
"Palos de Moguer",19,71.8947368421053
"Peñagrande",2,45
"Pinar del Rey",2,80
"Piovera",2,50
"Portazgo",1,22
"Prosperidad",6,54.5
"Pueblo Nuevo",5,24.4
"Puerta Bonita",2,25.5
"Puerta del Angel",18,48.2777777777778
"Quintana",7,48.1428571428571
"Recoletos",12,119.583333333333
"Rejas",2,52
"Rios Rosas",7,88
"Rosas",1,123
"Salvador",2,55
"San Andrés",1,81
"San Diego",11,52.3636363636364
"San Fermín",1,46
"San Isidro",4,49
"San Juan Bautista",3,137.666666666667
"San Pascual",1,27
"Simancas",7,67.7142857142857
"Sol",120,112.916666666667
"Timón",1,116
"Trafalgar",16,71.8125
"Universidad",178,103.224719101124
"Valdeacederas",1,24
"Valdefuentes",4,127.75
"Valdezarza",6,50
"Vallehermoso",1,16
"Valverde",2,62.5
"Ventas",5,54
"Vista Alegre",6,32.8333333333333
