"area","Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado","Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados","Formación profesional 2º grado, Bachiller Superior o BUP","Nivel de estudios desconocido y no consta","No sabe leer ni escribir o sin estudios","Primaria incompleta","Titulados medios, diplomados, arquitecto o ingeniero técnico"
"El Goloso","0.1091437392","0.5240170707","0.1480069009","0.0001816036","0.0265141197","0.0462181059","0.1459184600"
"MONCLOA-ARAVACA","0.17417847","0.42947550","0.17837137","0.00222503","0.02627548","0.07893825","0.11053591"
"Casa de Campo","0.189530686","0.372506175","0.198745962","0.001520046","0.029165875","0.091962759","0.116568497"
"Argüelles","0.150459554","0.483420505","0.174224344","0.002691312","0.017823592","0.056974559","0.114406134"
"Ciudad Universitaria","0.129614831","0.526770018","0.160140642","0.002956689","0.016141921","0.050423526","0.113952373"
"Valdezarza","0.264365342","0.252614815","0.204192313","0.002109069","0.044936082","0.133775234","0.098007145"
"Valdemarín","0.0965279488","0.6173356316","0.1209061807","0.0004924895","0.0115735041","0.0448165476","0.1083476976"
"El Plantío","0.1158441558","0.5376623377","0.1724675325","0.0005194805","0.0155844156","0.0477922078","0.1101298701"
"Aravaca","0.128167000","0.512839577","0.163511581","0.002344867","0.021103803","0.054732628","0.117300543"
"LATINA","0.321112644","0.153301458","0.201964937","0.001620512","0.065906149","0.170447860","0.085646440"
"Los Cármenes","0.322272303","0.154258626","0.195290643","0.002020516","0.080976065","0.165060615","0.080121231"
"Puerta del Ángel","0.311761140","0.183479842","0.202303728","0.001515611","0.061200364","0.156229160","0.083510155"
"Lucero","0.317303517","0.157873788","0.202887538","0.001085541","0.071392387","0.165183095","0.084274135"
"Aluche","0.323846211","0.142643429","0.202857357","0.002169197","0.060475727","0.179987284","0.088020794"
"Campamento","0.316683250","0.167164179","0.211343284","0.001393035","0.053731343","0.158938640","0.090746269"
"Cuatro Vientos","0.25627376","0.24664132","0.23954373","0.00000000","0.02712294","0.07072243","0.15969582"
"Las Águilas","0.335146872","0.125451352","0.194935103","0.001463843","0.076558993","0.188518591","0.077925246"
"CARABANCHEL","0.356042319","0.134320711","0.194102143","0.001711361","0.067392763","0.167063695","0.079367008"
"Comillas","0.326941196","0.168153855","0.207116333","0.001441002","0.054370116","0.157290916","0.084686582"
"Opañel","0.3556041211","0.1484545738","0.1953637215","0.0009756478","0.0565875741","0.1612160475","0.0817983141"
"San Isidro","0.353233664","0.134016462","0.175608937","0.002284562","0.082109861","0.180950781","0.071795733"
"Vista Alegre","0.369236413","0.116823749","0.192364129","0.002201027","0.064873864","0.180822846","0.073677973"
"Puerta Bonita","0.3785644436","0.1051828672","0.1791511833","0.0009387835","0.0904361432","0.1837668688","0.0619597105"
"Buenavista","0.3328749542","0.1574379660","0.2206637330","0.0007639653","0.0538442733","0.1299963330","0.1044187752"
"Abrantes","0.37114239","0.11829995","0.18769175","0.00351922","0.06817361","0.17659267","0.07458040"
"USERA","0.3931080367","0.0956499618","0.1656262842","0.0006848913","0.0886151498","0.1954777606","0.0608379156"
"Orcasitas","0.368294588","0.082717607","0.169039467","0.001081276","0.126989848","0.191986544","0.059890671"
"Orcasur","0.3818496639","0.0962517824","0.1273171725","0.0005092687","0.1409655734","0.1954573233","0.0576492157"
"San Fermín","0.3864587757","0.1002851423","0.1773342231","0.0002426743","0.0862100346","0.1813990172","0.0680701329"
"Almendrales","0.3938549256","0.1045296167","0.1672473868","0.0005068103","0.0720937599","0.1963256256","0.0654418752"
"Moscardó","0.3910397126","0.1166433846","0.1821492716","0.0008980243","0.0536320096","0.1842446617","0.0713929355"
"Zofío","0.4138463022","0.0886124771","0.1671005689","0.0005785363","0.0820557323","0.1984379520","0.0493684312"
"Pradolongo","0.4274008271","0.0684637770","0.1468065554","0.0008423955","0.0822484301","0.2315821718","0.0426558432"
"PUENTE DE VALLECAS","0.380309133","0.090432593","0.170057485","0.001259094","0.110674954","0.193718202","0.053548538"
"Entrevías","0.3992217899","0.0487937743","0.1284046693","0.0008949416","0.1678599222","0.2232295720","0.0315953307"
"San Diego","0.409203283","0.090846161","0.173781191","0.000692224","0.086758743","0.185087517","0.053630880"
"Palomeras Bajas","0.35897089","0.11927381","0.20291423","0.00152135","0.08049630","0.16663849","0.07018493"
"Palomeras Sureste","0.375097155","0.090812995","0.168630499","0.001119229","0.127405565","0.182776310","0.054158247"
"Portazgo","0.37400775","0.07259553","0.15174451","0.00230755","0.12885361","0.22484770","0.04564335"
"Numancia","0.368464822","0.106475578","0.181931585","0.001275157","0.088956035","0.193213949","0.059682874"
"MORATALAZ","0.281320816","0.197178159","0.213148808","0.001389339","0.063734218","0.144518183","0.098710478"
"Pavones","0.276242303","0.167406559","0.220965201","0.001432049","0.099670629","0.141629672","0.092653587"
"Horcajo","0.22259374","0.30212563","0.22116074","0.00000000","0.03916886","0.08120373","0.13374731"
"Marroquina","0.257453201","0.238502427","0.224913335","0.001063092","0.044002773","0.121839612","0.112225560"
"Media Legua","0.271027378","0.211120519","0.203429297","0.002257973","0.067950889","0.146203782","0.098010161"
"Fontarrón","0.331575037","0.132838039","0.201411590","0.001708767","0.078157504","0.176671620","0.077637444"
"Vinateros","0.30082488","0.16380758","0.20972334","0.00109497","0.06555223","0.16782247","0.09117454"
"CIUDAD LINEAL","0.275733004","0.249521019","0.201575448","0.001909993","0.046379614","0.124511380","0.100369542"
"Ventas","0.331342427","0.162567487","0.204115699","0.002138703","0.056910357","0.157377220","0.085548108"
"Pueblo Nuevo","0.338393264","0.151963834","0.202957156","0.001057609","0.061299822","0.158102111","0.086226204"
"Quintana","0.306056898","0.206791068","0.209238299","0.002090344","0.045069848","0.129754257","0.100999286"
"La Concepción","0.257005988","0.271976048","0.217305389","0.003233533","0.031556886","0.105508982","0.113413174"
"San Pascual","0.219797025","0.306756569","0.200750730","0.001598777","0.047337689","0.111010705","0.112748505"
"San Juan Bautista","0.13708981","0.48240501","0.18469344","0.00205095","0.01791883","0.05710276","0.11873921"
"Colina","0.143063584","0.459124690","0.182906689","0.001857969","0.021676301","0.051197358","0.140173410"
"Atalaya","0.1419753086419753","0.48853615520282184","0.19576719576719576","0.0044091710758377423","0.0088183421516754845","0.029982363315696647","0.13051146384479717"
"Costillares","0.11702525","0.51280935","0.18219127","0.00236289","0.01915185","0.03842806","0.12803134"
"HORTALEZA","0.2209710903","0.3185569355","0.2019278028","0.0008582684","0.0414462922","0.1018111663","0.1144284446"
"Palomas","0.105066901","0.525773196","0.199166484","0.001316078","0.008115815","0.030269796","0.130291731"
"Piovera","0.1106099235","0.5480486370","0.1769954893","0.0009805844","0.0128456560","0.0318689939","0.1186507158"
"Canillas","0.252304006","0.241244778","0.215132711","0.001167363","0.050718850","0.141097321","0.098334972"
"Pinar del Rey","0.3057001031","0.1861825855","0.2052228963","0.0007433874","0.0619889211","0.1528500516","0.0873120549"
"Apóstol Santiago","0.269243783","0.231009981","0.234139739","0.001607173","0.057435290","0.107596007","0.098968026"
"Valdefuentes","0.1231931021","0.4816140212","0.1827326777","0.0003663107","0.0159767815","0.0331652061","0.1629519006"
