I . Mercado de Trabajo
Paro registrado
Parados por Barrios
4.1.A. Paro registrado por Mes y Sexo según Distrito y Barrio (de diciembre de 2012 a agosto 2017)
;;;;Ambos sexos
2014;Julio;12. Usera;122. Orcasur;1.504
2014;Julio;12. Usera;123. San Fermín;2.108
2014;Julio;12. Usera;124. Almendrales;1.763
2014;Julio;12. Usera;125. Moscardó;2.055
2014;Julio;12. Usera;126. Zofío;1.225
2014;Julio;12. Usera;127. Pradolongo;1.486
2014;Julio;13. Puente de Vallecas;13. Puente de Vallecas;24.104
2014;Julio;13. Puente de Vallecas;130. No consta;453
2014;Julio;13. Puente de Vallecas;131. Entrevías;3.882
2014;Julio;13. Puente de Vallecas;132. San Diego;4.201
2014;Julio;13. Puente de Vallecas;133. Palomeras Bajas;3.552
2014;Julio;13. Puente de Vallecas;134. Palomeras Sureste;4.283
2014;Julio;13. Puente de Vallecas;135. Portazgo;2.871
2014;Julio;13. Puente de Vallecas;136. Numancia;4.862
2014;Julio;14. Moratalaz;14. Moratalaz;7.055
2014;Julio;14. Moratalaz;140. No consta;135
2014;Julio;14. Moratalaz;141. Pavones;733
2014;Julio;14. Moratalaz;142. Horcajo;478
2014;Julio;14. Moratalaz;143. Marroquina;1.773
2014;Julio;14. Moratalaz;144. Media Legua;1.403
2014;Julio;14. Moratalaz;145. Fontarrón;1.400
2014;Julio;14. Moratalaz;146. Vinateros;1.133
2014;Julio;15. Ciudad Lineal;15. Ciudad Lineal;15.247
2014;Julio;15. Ciudad Lineal;150. No consta;367
2014;Julio;15. Ciudad Lineal;151. Ventas;3.726
2014;Julio;15. Ciudad Lineal;152. Pueblo Nuevo;4.866
2014;Julio;15. Ciudad Lineal;153. Quintana;1.880
2014;Julio;15. Ciudad Lineal;154. Concepción;1.341
2014;Julio;15. Ciudad Lineal;155. San Pascual;1.160
2014;Julio;15. Ciudad Lineal;156. San Juan Bautista;546
2014;Julio;15. Ciudad Lineal;157. Colina;281
2014;Julio;15. Ciudad Lineal;158. Atalaya;70
2014;Julio;15. Ciudad Lineal;159. Costillares;1.010
2014;Julio;16. Hortaleza;16. Hortaleza;10.587
2014;Julio;16. Hortaleza;160. No consta;287
2014;Julio;16. Hortaleza;161. Palomas;255
2014;Julio;16. Hortaleza;162. Piovera;482
2014;Julio;16. Hortaleza;163. Canillas;2.468
2014;Julio;16. Hortaleza;164. Pinar del Rey;3.782
2014;Julio;16. Hortaleza;165. Apóstol Santiago;1.106
2014;Julio;16. Hortaleza;166. Valdefuentes;2.207
2014;Julio;17. Villaverde;17. Villaverde;14.640
2014;Julio;17. Villaverde;170. No consta;220
2014;Julio;17. Villaverde;171. San Andrés;4.844
2014;Julio;17. Villaverde;172. San Cristóbal;2.053
2014;Julio;17. Villaverde;173. Butarque;1.457
2014;Julio;17. Villaverde;174. Los Rosales;3.432
