E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.20. Evolución del precio de la vivienda de segunda mano por Distrito  y Barrio (€/m2)
10. Latina;106. Cuatro Vientos;Sin Datos;Sin Datos;Sin Datos;Sin Datos
10. Latina;107. Águilas;1.481;1.555;2.041;2.125
11. Carabanchel;11. Carabanchel;1.602;1.622;2.101;2.187
11. Carabanchel;111. Comillas;1.676;1.739;2.367;2.702
11. Carabanchel;112. Opañel;1.641;1.659;2.212;2.339
11. Carabanchel;113. San Isidro;1.566;1.611;2.084;2.303
11. Carabanchel;114. Vista Alegre;1.508;1.481;2.037;2.044
11. Carabanchel;115. Puerta Bonita;1.420;1.377;1.854;1.942
11. Carabanchel;116. Buenavista;1.438;1.359;1.888;1.982
11. Carabanchel;116. Buenavista (PAU de Carabanchel);2.645;2.576;3.085;3.026
11. Carabanchel;117. Abrantes;1.359;1.421;1.896;1.883
12. Usera;12. Usera;1.470;1.494;2.008;2.043
12. Usera;121. Orcasitas;1.518;1.431;Sin Datos;1.809
12. Usera;122. Orcasur;1.536;1.468;Sin Datos;1.728
12. Usera;123. San Fermín;1.568;1.656;1.815;2.041
12. Usera;124. Almendrales;1.452;1.512;2.012;2.180
12. Usera;125. Moscardó;1.512;1.539;2.261;2.209
12. Usera;126. Zofío;1.398;1.354;1.887;1.889
12. Usera;127. Pradolongo;1.303;1.364;1.902;2.097
13. Puente de Vallecas;13. Puente de Vallecas;1.396;1.366;1.821;1.957
13. Puente de Vallecas;131. Entrevías;1.061;1.092;1.413;1.558
13. Puente de Vallecas;132. San Diego;1.339;1.339;1.783;1.928
13. Puente de Vallecas;133. Palomeras Bajas;1.416;1.402;1.853;2.108
13. Puente de Vallecas;134. Palomeras Sureste;1.686;1.582;2.014;2.012
13. Puente de Vallecas;135. Portazgo;1.245;1.239;1.712;1.826
13. Puente de Vallecas;136. Numancia;1.406;1.460;1.921;2.082
14. Moratalaz;14. Moratalaz;1.952;1.927;2.568;2.500
14. Moratalaz;141. Pavones;Sin Datos;Sin Datos;Sin Datos;2.222
14. Moratalaz;142. Horcajo;Sin Datos;Sin Datos;Sin Datos;Sin Datos
14. Moratalaz;143. Marroquina;2.196;2.187;2.794;2.868
14. Moratalaz;144. Media Legua;1.882;1.936;Sin Datos;2.664
14. Moratalaz;145. Fontarrón;1.626;1.641;Sin Datos;2.207
14. Moratalaz;146. Vinateros;1.848;1.812;Sin Datos;2.500
15. Ciudad Lineal;15. Ciudad Lineal;2.464;2.455;3.000;3.020
15. Ciudad Lineal;151. Ventas;1.729;1.826;2.582;2.665
15. Ciudad Lineal;152. Pueblo Nuevo;1.731;1.733;2.418;2.496
15. Ciudad Lineal;153. Quintana;2.071;2.103;2.933;2.828
15. Ciudad Lineal;154. Concepción;2.472;2.313;3.142;3.259
15. Ciudad Lineal;155. San Pascual;2.939;2.929;3.471;3.402
15. Ciudad Lineal;156. San Juan Bautista;3.425;3.350;3.894;4.288
15. Ciudad Lineal;157. Colina;3.253;3.138;Sin Datos;4.660
15. Ciudad Lineal;158. Atalaya;Sin Datos;Sin Datos;Sin Datos;Sin Datos
15. Ciudad Lineal;159. Costillares;3.211;3.291;3.989;4.267
16. Hortaleza;16. Hortaleza;2.765;2.818;3.541;2.687
16. Hortaleza;161. Palomas;3.864;3.686;Sin Datos;3.732
16. Hortaleza;162. Piovera;Sin Datos;4.096;4.921;4.275
16. Hortaleza;163. Canillas;2.456;2.299;3.285;3.241
16. Hortaleza;164. Pinar del Rey;2.107;2.162;2.907;2.887
16. Hortaleza;165. Apóstol Santiago;1.627;1.684;2.625;2.850
16. Hortaleza;166. Valdefuentes;Sin Datos;Sin Datos;Sin Datos;Sin Datos
16. Hortaleza;166. Valdefuentes (PAU Sanchinarro);3.220;3.280;4.184;4.417
16. Hortaleza;166. Valdefuentes (Valdebebas - Valdefuentes);2.607;2.672;Sin Datos;3.676
16. Hortaleza;166. Valdefuentes (Virgen del Cortijo - Manoteras);2.425;2.495;Sin Datos;3.504
16. Hortaleza;166. Valdefuentes (El Encinar de los Reyes);Sin Datos;Sin Datos;Sin Datos;Sin Datos
17. Villaverde;17. Villaverde;1.239;1.245;1.644;1.730
17. Villaverde;171. San Andrés;1.193;1.195;1.644;1.614
17. Villaverde;172. San Cristóbal;912;925;1.252;1.467
17. Villaverde;173. Butarque;1.515;1.594;1.803;2.143
17. Villaverde;174. Los Rosales;1.322;1.302;1.761;1.869
17. Villaverde;175. Ángeles;1.271;1.357;1.648;1.842
18. Villa de Vallecas;18. Villa de Vallecas;1.914;1.903;2.338;2.434
18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.445;1.435;1.913;2.018
